ENSG	WT1	WT2	WT3	KO1	KO2	KO3	Symbol
ENSMUSG00000097471	27	24	31	22	21	15	5830432E09Rik
ENSMUSG00000074483	6	2	1	3	3	1	Bglap
ENSMUSG00000017950	0	0	0	5	6	3	Hnf4a
ENSMUSG00000093080	15	19	8	12	10	5	Mir3060
ENSMUSG00000093081	0	3	6	2	0	2	Mir3075
ENSMUSG00000043372	100	75	75	52	69	50	Hexim2
ENSMUSG00000093087	1	2	0	1	3	0	Mir3473d
ENSMUSG00000035305	315	305	288	198	228	195	Ror1
ENSMUSG00000024251	609	663	618	556	762	666	Thada
ENSMUSG00000038267	3640	2502	2337	2913	3742	2353	Slc22a23
ENSMUSG00000009545	102	66	80	40	63	61	Kcnq1
ENSMUSG00000038260	1696	1220	1217	1062	1453	1013	Trpm4
ENSMUSG00000026979	1469	1263	1192	1436	2126	1586	Psd4
ENSMUSG00000026976	1	4	0	6	3	3	Pax8
ENSMUSG00000037813	169	153	195	79	113	135	D630003M21Rik
ENSMUSG00000026974	545	566	454	412	640	567	Zmynd19
ENSMUSG00000026975	201	240	170	195	317	243	Dph7
ENSMUSG00000026972	832	774	731	534	865	572	Arrdc1
ENSMUSG00000038268	166	121	100	95	131	132	Ovca2
ENSMUSG00000026970	3694	3071	2811	3427	5372	3234	Rbms1
ENSMUSG00000076921	0	0	1	0	0	0	Traj7
ENSMUSG00000085336	6	7	4	3	3	5	Gm11732
ENSMUSG00000085886	4	4	1	2	6	2	D030047H15Rik
ENSMUSG00000028758	16	10	13	18	19	22	Kif17
ENSMUSG00000020566	2562	2424	2149	2714	3502	1841	Atp6v1c2
ENSMUSG00000025588	2	1	0	1	2	1	Nat1
ENSMUSG00000020564	671	570	546	561	837	552	Atxn7l1
ENSMUSG00000025586	431	540	265	279	358	202	Cpeb1
ENSMUSG00000028755	17	17	24	10	13	16	Cda
ENSMUSG00000025584	504	412	352	322	435	420	Pde8a
ENSMUSG00000028757	3855	2579	3546	2249	3232	3444	Ddost
ENSMUSG00000028750	2	2	6	4	1	5	Pla2g2c
ENSMUSG00000085888	24	16	12	5	6	8	Gm12224
ENSMUSG00000025580	1890	1625	1532	1201	2092	1710	Eif4a3
ENSMUSG00000055333	5846	3551	4286	3960	6715	4313	Fat2
ENSMUSG00000003809	669	571	550	380	658	536	Gcdh
ENSMUSG00000043085	28	17	26	5	19	10	Tmem82
ENSMUSG00000029919	102	92	107	220	321	133	Hpgds
ENSMUSG00000029918	499	374	310	275	425	299	Mrps33
ENSMUSG00000064553	0	0	0	0	0	1	Gm24622
ENSMUSG00000029915	19	24	21	27	60	21	Clec5a
ENSMUSG00000079056	52	39	49	30	41	52	Kcnip3
ENSMUSG00000029911	549	479	402	426	527	320	Ssbp1
ENSMUSG00000029910	282	318	298	338	639	333	Mad2l1
ENSMUSG00000029913	84	102	70	52	98	37	Prdm5
ENSMUSG00000029280	0	0	0	0	0	1	Smr3a
ENSMUSG00000090191	1	2	1	2	1	2	9230105E05Rik
ENSMUSG00000041747	625	652	482	665	885	725	Utp15
ENSMUSG00000022580	29	11	24	19	29	16	Rhpn1
ENSMUSG00000022587	7096	4443	6327	4371	9133	9849	Ly6e
ENSMUSG00000022586	3	1	8	2	5	4	Ly6i
ENSMUSG00000053388	0	1	0	0	0	0	Trim50
ENSMUSG00000027215	3398	2407	3094	1431	2433	2332	Cd82
ENSMUSG00000077545	1	0	1	1	0	1	Gm22018
ENSMUSG00000077547	1	0	0	0	0	0	Gm22019
ENSMUSG00000034055	1096	964	779	452	784	623	Phka1
ENSMUSG00000020936	1820	1784	1743	1663	2602	2006	Nmt1
ENSMUSG00000077542	0	0	2	2	0	0	Gm22023
ENSMUSG00000077409	0	0	0	1	1	0	Gm25416
ENSMUSG00000085085	4	7	1	1	4	2	1700086P04Rik
ENSMUSG00000027217	741	519	692	288	226	471	Tspan18
ENSMUSG00000070284	411	264	304	320	523	446	Gmppb
ENSMUSG00000084686	5	3	1	4	7	1	Gm22027
ENSMUSG00000038354	2645	2572	1913	2382	3642	2090	Ankrd35
ENSMUSG00000077400	0	0	0	1	0	0	Gm25417
ENSMUSG00000027210	940	719	623	585	866	553	Meis2
ENSMUSG00000095105	645	624	495	811	1279	780	Edaradd
ENSMUSG00000038357	3	2	3	1	3	1	Camp
ENSMUSG00000077406	0	0	1	0	0	0	Gm25421
ENSMUSG00000060256	1	0	0	1	1	0	Tdpoz4
ENSMUSG00000047307	43	30	39	31	32	28	Pcdhb13
ENSMUSG00000020694	959	892	767	955	1501	865	Tlk2
ENSMUSG00000020697	1141	1237	1075	1190	1897	1344	Lig3
ENSMUSG00000020696	775	665	547	444	694	464	Rffl
ENSMUSG00000020691	361	396	257	375	602	361	Mettl2
ENSMUSG00000020690	0	0	0	1	1	0	Efcab3
ENSMUSG00000020692	474	355	334	341	493	455	Nle1
ENSMUSG00000015852	218	285	172	163	296	219	Fcrls
ENSMUSG00000015850	2413	2308	1897	594	1149	1266	Adamtsl4
ENSMUSG00000020698	8	6	3	7	7	2	Cct6b
ENSMUSG00000015854	0	0	2	2	2	3	Cd5l
ENSMUSG00000098083	0	0	0	1	1	0	Gm8957
ENSMUSG00000040522	30	30	23	23	55	29	Tlr8
ENSMUSG00000034663	1743	1580	1407	1466	2016	1193	Bmp2k
ENSMUSG00000038205	1456	1280	799	1015	1418	855	Prkab2
ENSMUSG00000082737	0	0	0	10	2	1	Gm12026
ENSMUSG00000046567	125	186	106	209	294	94	4930430F08Rik
ENSMUSG00000043262	716	700	592	820	1252	688	Uevld
ENSMUSG00000048500	1	0	1	71	124	28	Defb15
ENSMUSG00000073599	111	121	98	77	102	114	Ecscr
ENSMUSG00000046562	2034	1241	1678	967	1701	1674	Unc119b
ENSMUSG00000046561	10	13	13	21	25	29	Arsj
ENSMUSG00000052534	2344	1864	1717	1432	2133	1726	Pbx1
ENSMUSG00000052533	1688	1558	1410	1293	2100	1731	Nup188
ENSMUSG00000052539	439	422	392	367	632	237	Magi3
ENSMUSG00000062563	245	471	164	98	146	116	Cys1
ENSMUSG00000088969	1	2	0	0	0	1	Gm22085
ENSMUSG00000037966	983	646	900	667	893	1001	Ninj1
ENSMUSG00000037965	1486	1611	1028	2122	3131	914	Zc3h7a
ENSMUSG00000006019	540	368	434	361	612	431	Dhx34
ENSMUSG00000035279	980	840	864	336	546	729	Ssc5d
ENSMUSG00000006014	215	149	177	80	59	233	Prg4
ENSMUSG00000039048	745	728	558	581	814	632	Foxred1
ENSMUSG00000026843	1775	1428	1365	1331	1813	1466	Fubp3
ENSMUSG00000038880	141	74	112	48	99	81	Mrps34
ENSMUSG00000045038	482	389	397	198	368	364	Prkce
ENSMUSG00000095789	29	20	13	13	26	10	Nupr1l
ENSMUSG00000042029	309	445	402	696	1167	411	Ncapg2
ENSMUSG00000045034	3	7	3	6	10	2	Ankrd34b
ENSMUSG00000038888	366	213	312	239	338	295	Ctu1
ENSMUSG00000045036	1	0	0	0	1	1	Tmem232
ENSMUSG00000087013	23	17	25	11	14	5	2610027K06Rik
ENSMUSG00000045031	27	23	16	10	36	23	Cetn4
ENSMUSG00000044533	24119	16625	20619	17126	24114	21953	Rps2
ENSMUSG00000025050	333	355	226	303	395	292	Pcgf6
ENSMUSG00000034435	1358	869	1065	694	1268	994	Tmem30b
ENSMUSG00000028532	1603	1448	1496	1735	2779	2428	Cachd1
